id,batchnum,condition,case,consistency
5d482ea621c9be351f762a97,47,ind in groups,0,1
5ea0d2929dc0406f89889f9f,47,ind in groups,0,1
5ea12e4ade5d74641b66be98,47,ind in groups,0,1
,48,group,1,1
,48,nominal,0,1
5ea6f820002f966295b20060,48,individual,0,1
5ea6f884002f966295b20062,48,individual,0,1
5ea1d246de5d74641b67178a,48,ind in groups,1,1
,49,group,1,1
,49,nominal,0,1
5d482eaa21c9be351f763be9,49,individual,0,1
5ea6f618002f966295b20008,49,individual,0,1
5d482eaa21c9be351f763be9,49,ind in groups,1,1
5ea0dd3c9dc0406f8988bd94,49,ind in groups,1,1
5ea6f550002f966295b1fffc,49,ind in groups,1,1
5ea6f596002f966295b20001,49,ind in groups,1,1
5ea6f618002f966295b20008,49,ind in groups,1,1
,50,group,1,1
,50,nominal,0,0
5d482ea621c9be351f7629f2,50,ind in groups,1,1
5ea721c43ecdad55471ffa70,50,ind in groups,1,1
,51,group,1,1
,51,nominal,0,1
5d482ea521c9be351f762519,51,individual,0,1
5d482ea521c9be351f76254b,51,individual,0,0
5d482ea521c9be351f762540,51,individual,0,1
5d482ea521c9be351f76270e,51,individual,0,1
5d482ea521c9be351f76254b,51,ind in groups,1,1
5d482ea521c9be351f762540,51,ind in groups,1,1
5d482ea521c9be351f76270e,51,ind in groups,1,1
,52,group,0,0
,52,nominal,1,1
5d482ea521c9be351f7624c6,52,individual,1,0
5d482ea521c9be351f7625cc,52,individual,1,1
5d482ea521c9be351f7626f2,52,individual,1,0
5d482ea821c9be351f763554,52,individual,1,1
5ea724e43ecdad55471ffdce,52,individual,1,1
5ea728b83ecdad55472000c2,52,individual,1,1
5d482ea521c9be351f7625cc,52,ind in groups,0,0
5ea724e43ecdad55471ffdce,52,ind in groups,0,1
5ea728b83ecdad55472000c2,52,ind in groups,0,0
,53,group,1,1
,53,nominal,0,1
5d482ea721c9be351f762be2,53,individual,0,1
5ea634947c882f6974ff30ff,53,individual,0,1
5d482ea721c9be351f762be2,53,ind in groups,1,1
5ea12f30de5d74641b66be9c,53,ind in groups,1,1
5ea634947c882f6974ff30ff,53,ind in groups,1,1
,54,group,1,1
,54,nominal,0,1
5d482ea721c9be351f762cc8,54,individual,0,1
5d482ea921c9be351f76373a,54,individual,0,1
5ea632967c882f6974ff2f5d,54,individual,0,1
5ea71fee3ecdad55471ff9b9,54,individual,0,1
5d482ea921c9be351f76373a,54,ind in groups,1,1
5d482eab21c9be351f7640eb,54,ind in groups,1,1
5ea71fee3ecdad55471ff9b9,54,ind in groups,1,0
,55,group,0,1
,55,nominal,1,0
5ea1e538de5d74641b67621a,55,individual,1,1
5ea63e627c882f6974ff3235,55,individual,1,1
5ea1e538de5d74641b67621a,55,ind in groups,0,1
5ea63e627c882f6974ff3235,55,ind in groups,0,1
,56,group,1,1
,56,nominal,0,0
5d482ea821c9be351f763208,56,individual,0,0
5d482ea821c9be351f76354a,56,individual,0,1
5d482eaa21c9be351f763baf,56,individual,0,1
5ea63ba67c882f6974ff320d,56,individual,0,1
5d482ea821c9be351f7630ab,56,ind in groups,1,0
5ea63ba67c882f6974ff320d,56,ind in groups,1,1
,57,group,1,1
,57,nominal,0,1
5d482ea821c9be351f76344b,57,individual,0,1
5d482ea921c9be351f7635e8,57,individual,0,1
5d482eab21c9be351f763de7,57,individual,0,1
5ea1d192de5d74641b671760,57,individual,0,1
5ea6f7b2002f966295b20020,57,individual,0,1
5d482ea821c9be351f76344b,57,ind in groups,1,1
5d482ea921c9be351f7635e8,57,ind in groups,1,1
5d482eaa21c9be351f763c82,57,ind in groups,1,1
5d482eab21c9be351f763de7,57,ind in groups,1,1
5ea1d192de5d74641b671760,57,ind in groups,1,1
5ea6f7b2002f966295b20020,57,ind in groups,1,1
,58,group,0,1
,58,nominal,1,0
5d482ea821c9be351f7631ba,58,individual,1,1
5ea6fc58002f966295b20107,58,individual,1,1
5ea7338a3ecdad5547202357,58,individual,1,0
5ea7381c3ecdad5547203134,58,individual,1,1
