"","id","batchnum","condition","case","consistency","Segment"
"256","5d482eab21c9be351f763e76",17,"individual",1,1,"Before"
"257","5e543be4d1db96705ff13dc6",17,"individual",1,1,"Before"
"258","5e9f4c929dc0406f89879f11",17,"individual",1,0,"Before"
"259","5ea076809dc0406f8987dd98",17,"individual",1,0,"Before"
"260","5d482ea921c9be351f763619",17,"ind in groups",0,1,"Before"
"261","5d482ea921c9be351f763704",17,"ind in groups",0,0,"Before"
"262","5d482ea921c9be351f7637ac",17,"ind in groups",0,1,"Before"
"263","5d482ea921c9be351f763800",17,"ind in groups",0,0,"Before"
"264","5d482eab21c9be351f763e76",17,"ind in groups",0,0,"Before"
"265","5e543be4d1db96705ff13dc6",17,"ind in groups",0,0,"Before"
"266","5e9f4c929dc0406f89879f11",17,"ind in groups",0,0,"Before"
"267","5ea076809dc0406f8987dd98",17,"ind in groups",0,1,"Before"
"268","",18,"group",1,1,"Before"
"269","",18,"nominal",0,0,"Before"
"270","5d482ea921c9be351f7636ad",18,"individual",0,0,"Before"
"271","5d482ea921c9be351f763783",18,"individual",0,0,"Before"
"272","5d482eaa21c9be351f76396d",18,"individual",0,1,"Before"
"273","5d482eaa21c9be351f763a74",18,"individual",0,0,"Before"
"274","5ea06c089dc0406f8987c3c6",18,"individual",0,1,"Before"
"275","5ea0720c9dc0406f8987ce48",18,"individual",0,0,"Before"
"276","5d482ea921c9be351f7636ad",18,"ind in groups",1,1,"Before"
"277","5d482eaa21c9be351f76396d",18,"ind in groups",1,0,"Before"
"278","5ea06c089dc0406f8987c3c6",18,"ind in groups",1,1,"Before"
"279","5ea0720c9dc0406f8987ce48",18,"ind in groups",1,1,"Before"
"280","",19,"group",0,1,"Before"
"281","",19,"nominal",1,0,"Before"
"282","5d482eaa21c9be351f7639b8",19,"individual",1,0,"Before"
"283","5d482eaa21c9be351f7639f7",19,"individual",1,1,"Before"
"284","5d482eab21c9be351f763e0a",19,"individual",1,1,"Before"
"285","5d482eab21c9be351f763f68",19,"individual",1,0,"Before"
"286","5ea06e7e9dc0406f8987c6ee",19,"individual",1,0,"Before"
"287","5ea06f469dc0406f8987c82e",19,"individual",1,1,"Before"
"288","5d482eaa21c9be351f7639b8",19,"ind in groups",0,1,"Before"
"289","5d482eaa21c9be351f7639f7",19,"ind in groups",0,1,"Before"
"290","5d482eaa21c9be351f763ada",19,"ind in groups",0,1,"Before"
"291","5d482eab21c9be351f763e0a",19,"ind in groups",0,1,"Before"
"292","5d482eab21c9be351f763f68",19,"ind in groups",0,0,"Before"
"293","5ea06e7e9dc0406f8987c6ee",19,"ind in groups",0,1,"Before"
"294","5ea06f469dc0406f8987c82e",19,"ind in groups",0,0,"Before"
"295","",20,"group",0,1,"Before"
"296","",20,"nominal",1,1,"Before"
"297","5d482ea921c9be351f7638f9",20,"individual",1,1,"Before"
"298","5d482eaa21c9be351f763af2",20,"individual",1,1,"Before"
